age,workclass,education,marital.status,occupation,sex,native.country,income
90,?,HS-grad,Widowed,?,Female,United-States,<=50K
82,Private,HS-grad,Widowed,Exec-managerial,Female,United-States,<=50K
66,?,Some-college,Widowed,?,Female,United-States,<=50K
54,Private,7th-8th,Divorced,Machine-op-inspct,Female,United-States,<=50K
41,Private,Some-college,Separated,Prof-specialty,Female,United-States,<=50K
34,Private,HS-grad,Divorced,Other-service,Female,United-States,<=50K
38,Private,10th,Separated,Adm-clerical,Male,United-States,<=50K
74,State-gov,Doctorate,Never-married,Prof-specialty,Female,United-States,>50K
68,Federal-gov,HS-grad,Divorced,Prof-specialty,Female,United-States,<=50K
41,Private,Some-college,Never-married,Craft-repair,Male,?,>50K
45,Private,Doctorate,Divorced,Prof-specialty,Female,United-States,>50K
38,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Male,United-States,>50K
52,Private,Bachelors,Widowed,Other-service,Female,United-States,>50K
32,Private,Masters,Separated,Exec-managerial,Male,United-States,>50K
51,?,Doctorate,Never-married,?,Male,United-States,>50K
46,Private,Prof-school,Divorced,Prof-specialty,Male,United-States,>50K
45,Private,11th,Divorced,Transport-moving,Male,United-States,>50K
57,Private,Masters,Divorced,Exec-managerial,Male,United-States,>50K
22,Private,Assoc-acdm,Never-married,Handlers-cleaners,Male,?,>50K
34,Private,Bachelors,Separated,Sales,Male,United-States,>50K
37,Private,Bachelors,Never-married,Exec-managerial,Male,United-States,>50K
29,Private,11th,Separated,Sales,Female,United-States,<=50K
61,Private,HS-grad,Divorced,Sales,Female,United-States,<=50K
51,Private,Some-college,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
61,?,HS-grad,Married-civ-spouse,?,Male,United-States,<=50K
21,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
33,Private,1st-4th,Married-civ-spouse,Craft-repair,Male,Mexico,<=50K
55,Private,5th-6th,Married-civ-spouse,Other-service,Male,Greece,<=50K
37,Self-emp-inc,10th,Never-married,Transport-moving,Male,United-States,>50K
38,Private,10th,Never-married,Prof-specialty,Male,United-States,>50K
23,Private,Some-college,Separated,Other-service,Male,United-States,>50K
55,Self-emp-inc,10th,Widowed,Exec-managerial,Female,United-States,>50K
52,Private,Prof-school,Divorced,Exec-managerial,Male,United-States,>50K
51,Private,Bachelors,Divorced,Exec-managerial,Male,United-States,>50K
60,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Male,United-States,>50K
63,Federal-gov,Doctorate,Divorced,Exec-managerial,Female,United-States,>50K
53,Private,HS-grad,Never-married,Sales,Male,United-States,>50K
51,Private,Prof-school,Never-married,Prof-specialty,Female,United-States,>50K
37,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Female,United-States,>50K
54,Private,Masters,Divorced,Prof-specialty,Female,United-States,>50K
44,Private,Bachelors,Divorced,Exec-managerial,Male,United-States,>50K
43,Private,Masters,Divorced,Exec-managerial,Female,United-States,>50K
51,Private,Some-college,Divorced,Adm-clerical,Female,United-States,>50K
43,Private,Masters,Divorced,Prof-specialty,Female,United-States,>50K
71,?,HS-grad,Married-civ-spouse,?,Male,United-States,<=50K
48,Private,Bachelors,Married-spouse-absent,Sales,Female,United-States,>50K
71,Private,HS-grad,Married-civ-spouse,Sales,Male,United-States,<=50K
73,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,Vietnam,<=50K
68,?,Some-college,Married-civ-spouse,?,Female,United-States,<=50K
67,?,Some-college,Married-civ-spouse,?,Male,United-States,<=50K
40,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Male,United-States,>50K
50,Private,HS-grad,Widowed,Sales,Female,United-States,>50K
51,State-gov,Assoc-voc,Divorced,Tech-support,Male,United-States,>50K
42,Private,Some-college,Never-married,Exec-managerial,Female,United-States,>50K
39,Private,Masters,Never-married,Sales,Male,United-States,>50K
32,Private,Bachelors,Never-married,Exec-managerial,Male,United-States,>50K
53,Private,Some-college,Separated,Craft-repair,Male,United-States,>50K
40,Local-gov,Some-college,Never-married,Protective-serv,Male,United-States,>50K
38,Private,Bachelors,Never-married,Sales,Female,United-States,>50K
33,Private,Assoc-voc,Separated,Craft-repair,Male,United-States,>50K
