Continent,Country,Date,Total Cases,Active Cases,Critical Cases,Recovered Cases,Total Deaths,Population,Total Tests,Time
Asia,China,2024-10-11,503302,118977.0,,379053.0,5272.0,1448471400.0,160000000.0,2024-10-11T03:30:27+00:00
Africa,Saint-Helena,2024-10-11,2166,2164.0,,2.0,,6115.0,,2024-10-11T03:30:26+00:00
South-America,Falkland-Islands,2024-10-11,1930,0.0,,1930.0,,3539.0,8632.0,2024-10-11T03:30:26+00:00
North-America,Montserrat,2024-10-11,1403,19.0,,1376.0,8.0,4965.0,17762.0,2024-10-11T03:30:26+00:00
Unknown,Diamond-Princess,2024-10-11,712,0.0,,699.0,13.0,0.0,,2024-10-11T03:30:26+00:00
Europe,Vatican-City,2024-10-11,29,0.0,,29.0,,799.0,,2024-10-11T03:30:26+00:00
Africa,Western-Sahara,2024-10-11,10,0.0,,9.0,1.0,626161.0,,2024-10-11T03:30:26+00:00
Unknown,MS-Zaandam,2024-10-11,9,0.0,,7.0,2.0,0.0,,2024-10-11T03:30:26+00:00
Oceania,Tokelau,2024-10-11,80,80.0,,,,1378.0,,2024-10-11T03:30:26+00:00
Oceania,Tuvalu,2024-10-11,2943,,,,1.0,12066.0,,2024-10-11T03:30:26+00:00
Oceania,Niue,2024-10-11,1059,3.0,,1056.0,,1622.0,,2024-10-11T03:30:26+00:00
Oceania,Nauru,2024-10-11,5393,45.0,,5347.0,1.0,10903.0,20509.0,2024-10-11T03:30:25+00:00
Oceania,Wallis-and-Futuna,2024-10-11,3550,3104.0,,438.0,8.0,10982.0,20508.0,2024-10-11T03:30:25+00:00
North-America,St-Barth,2024-10-11,5507,,,,6.0,9945.0,78646.0,2024-10-11T03:30:25+00:00
North-America,Saint-Kitts-and-Nevis,2024-10-11,6607,0.0,,6559.0,48.0,53871.0,126958.0,2024-10-11T03:30:25+00:00
Oceania,Kiribati,2024-10-11,5085,2358.0,3.0,2703.0,24.0,123419.0,,2024-10-11T03:30:25+00:00
Oceania,Cook-Islands,2024-10-11,7203,51.0,,7150.0,2.0,17571.0,19690.0,2024-10-11T03:30:25+00:00
Africa,Sao-Tome-and-Principe,2024-10-11,6778,13.0,,6685.0,80.0,227679.0,29600.0,2024-10-11T03:30:25+00:00
North-America,Turks-and-Caicos,2024-10-11,6752,3.0,4.0,6709.0,40.0,39741.0,616788.0,2024-10-11T03:30:25+00:00
Oceania,Palau,2024-10-11,6290,4.0,,6276.0,10.0,18233.0,71434.0,2024-10-11T03:30:25+00:00
North-America,Anguilla,2024-10-11,3904,,,,12.0,15230.0,51382.0,2024-10-11T03:30:25+00:00
North-America,Saint-Pierre-Miquelon,2024-10-11,3452,1001.0,,2449.0,2.0,5759.0,25400.0,2024-10-11T03:30:25+00:00
Africa,Eritrea,2024-10-11,10189,0.0,,10086.0,103.0,3662244.0,23693.0,2024-10-11T03:30:24+00:00
Africa,Niger,2024-10-11,9931,729.0,1.0,8890.0,312.0,26083660.0,254538.0,2024-10-11T03:30:24+00:00
Africa,Liberia,2024-10-11,8090,12.0,2.0,7783.0,295.0,5305117.0,139824.0,2024-10-11T03:30:24+00:00
North-America,Caribbean-Netherlands,2024-10-11,11682,1168.0,,10476.0,38.0,26647.0,30126.0,2024-10-11T03:30:24+00:00
Africa,Comoros,2024-10-11,9109,9.0,,8939.0,161.0,907419.0,,2024-10-11T03:30:24+00:00
Africa,Guinea-Bissau,2024-10-11,9614,508.0,6.0,8929.0,177.0,2063367.0,145231.0,2024-10-11T03:30:24+00:00
Africa,Chad,2024-10-11,7701,2633.0,,4874.0,194.0,17413580.0,191341.0,2024-10-11T03:30:24+00:00
North-America,Sint-Maarten,2024-10-11,11051,54.0,,10905.0,92.0,43966.0,62056.0,2024-10-11T03:30:24+00:00
Asia,Yemen,2024-10-11,11945,662.0,,9124.0,2159.0,31154867.0,329592.0,2024-10-11T03:30:24+00:00
North-America,St-Vincent-Grenadines,2024-10-11,9674,57.0,,9493.0,124.0,111551.0,114197.0,2024-10-11T03:30:24+00:00
North-America,Antigua-and-Barbuda,2024-10-11,9106,6.0,,8954.0,146.0,99509.0,18901.0,2024-10-11T03:30:24+00:00
Africa,Sierra-Leone,2024-10-11,7779,,,,126.0,8306436.0,259958.0,2024-10-11T03:30:24+00:00
North-America,British-Virgin-Islands,2024-10-11,7392,,,,64.0,30596.0,107339.0,2024-10-11T03:30:24+00:00
Asia,Tajikistan,2024-10-11,17786,397.0,,17264.0,125.0,9957464.0,,2024-10-11T03:30:23+00:00
Africa,Djibouti,2024-10-11,15690,74.0,,15427.0,189.0,1016097.0,305941.0,2024-10-11T03:30:23+00:00
North-America,Greenland,2024-10-11,11971,9189.0,4.0,2761.0,21.0,56973.0,164926.0,2024-10-11T03:30:23+00:00
Africa,Equatorial-Guinea,2024-10-11,17229,139.0,5.0,16907.0,183.0,1496662.0,365697.0,2024-10-11T03:30:23+00:00
Africa,Gambia,2024-10-11,12626,65.0,,12189.0,372.0,2558482.0,155686.0,2024-10-11T03:30:23+00:00
Oceania,Vanuatu,2024-10-11,12019,29.0,,11976.0,14.0,321832.0,24976.0,2024-10-11T03:30:23+00:00
Europe,Monaco,2024-10-11,17181,,,,67.0,39783.0,78646.0,2024-10-11T03:30:23+00:00
Oceania,Samoa,2024-10-11,17006,15370.0,,1605.0,31.0,202239.0,187397.0,2024-10-11T03:30:23+00:00
Oceania,Tonga,2024-10-11,16950,1299.0,,15638.0,13.0,107749.0,535009.0,2024-10-11T03:30:23+00:00
Oceania,Marshall-Islands,2024-10-11,16138,0.0,,16121.0,17.0,60057.0,,2024-10-11T03:30:23+00:00
North-America,Dominica,2024-10-11,16038,0.0,,15964.0,74.0,72344.0,229344.0,2024-10-11T03:30:23+00:00
Africa,CAR,2024-10-11,15440,127.0,2.0,15200.0,113.0,5016678.0,81294.0,2024-10-11T03:30:23+00:00
North-America,Saint-Martin,2024-10-11,12324,,,,63.0,39730.0,112382.0,2024-10-11T03:30:23+00:00
Africa,Congo,2024-10-11,25375,983.0,,24006.0,386.0,5797805.0,347815.0,2024-10-11T03:30:22+00:00
North-America,Nicaragua,2024-10-11,18491,14041.0,,4225.0,225.0,6779100.0,,2024-10-11T03:30:22+00:00
North-America,Bermuda,2024-10-11,18860,10.0,,18685.0,165.0,61939.0,1029558.0,2024-10-11T03:30:22+00:00
North-America,Grenada,2024-10-11,19693,97.0,4.0,19358.0,238.0,113475.0,182981.0,2024-10-11T03:30:22+00:00
Asia,Timor-Leste,2024-10-11,23460,220.0,,23102.0,138.0,1369429.0,278529.0,2024-10-11T03:30:22+00:00
Europe,San-Marino,2024-10-11,26185,46.0,,26011.0,128.0,34085.0,196855.0,2024-10-11T03:30:22+00:00
Oceania,Solomon-Islands,2024-10-11,25954,,,,199.0,721159.0,,2024-10-11T03:30:22+00:00
Africa,Burkina-Faso,2024-10-11,22114,118.0,,21596.0,400.0,22102838.0,248995.0,2024-10-11T03:30:22+00:00
Europe,Liechtenstein,2024-10-11,21574,,,,94.0,38387.0,112457.0,2024-10-11T03:30:22+00:00
Europe,Gibraltar,2024-10-11,20550,,,,113.0,33704.0,534283.0,2024-10-11T03:30:22+00:00
Africa,South-Sudan,2024-10-11,18819,557.0,1.0,18115.0,147.0,11618511.0,410280.0,2024-10-11T03:30:22+00:00
Europe,Isle-of-Man,2024-10-11,38008,,,,116.0,85732.0,150753.0,2024-10-11T03:30:21+00:00
North-America,Cayman-Islands,2024-10-11,31472,22882.0,1.0,8553.0,37.0,67277.0,222773.0,2024-10-11T03:30:21+00:00
Africa,Somalia,2024-10-11,27334,12791.0,,13182.0,1361.0,16841795.0,400466.0,2024-10-11T03:30:21+00:00
Africa,Lesotho,2024-10-11,36138,9435.0,,25980.0,723.0,2175699.0,431221.0,2024-10-11T03:30:21+00:00
North-America,Haiti,2024-10-11,34667,73.0,,33734.0,860.0,11680283.0,132422.0,2024-10-11T03:30:21+00:00
