department,education,gender,recruitment_channel,age,performance,is_promoted
Sales & Marketing,Master,f,sourcing,35,Average,No
Operations,Bachelor,m,other,30,Average,No
Sales & Marketing,Bachelor,m,sourcing,34,Average,No
Sales & Marketing,Bachelor,m,other,39,Average,No
Technology,Bachelor,m,other,45,Average,No
Analytics,Bachelor,m,sourcing,31,Average,No
Operations,Bachelor,f,other,31,Average,No
Operations,Master,m,sourcing,33,Average,No
Analytics,Bachelor,m,other,28,Average,No
Sales & Marketing,Master,m,sourcing,32,Average,No
Technology,PHD,m,sourcing,30,Average,No
Sales & Marketing,Bachelor,f,sourcing,35,Good,Yes
Sales & Marketing,Bachelor,m,sourcing,49,Good,No
Technology,Master,m,other,39,Good,No
R&D,Master,m,sourcing,37,Good,No
Operations,Bachelor,m,other,37,Good,No
Technology,Bachelor,m,other,38,Good,No
Sales & Marketing,Bachelor,m,other,34,Good,No
Sales & Marketing,Bachelor,m,other,34,Good,No
Operations,Bachelor,m,other,37,Good,No
Procurement,Bachelor,m,other,35,Good,No
Operations,PHD,m,sourcing,41,Good,No
Finance,Bachelor,f,other,28,Good,No
Procurement,Bachelor,m,other,27,Good,No
Finance,Master,m,sourcing,39,Good,No
Technology,Bachelor,m,other,27,Good,No
Procurement,Bachelor,m,other,31,Average,No
Technology,Bachelor,m,other,33,Average,No
Analytics,Bachelor,m,other,29,Average,No
Sales & Marketing,Bachelor,m,sourcing,26,Average,No
Procurement,Bachelor,m,sourcing,37,Average,No
Finance,Bachelor,m,other,26,Average,No
Sales & Marketing,PHD,f,sourcing,24,Average,No
Operations,Bachelor,m,sourcing,57,Average,No
Analytics,Bachelor,m,other,27,Average,No
Sales & Marketing,Bachelor,m,other,40,Average,No
Technology,Bachelor,m,sourcing,33,Average,No
Sales & Marketing,Bachelor,f,sourcing,40,Average,No
Sales & Marketing,Master,m,other,42,Average,No
Sales & Marketing,Bachelor,m,sourcing,33,Average,Yes
Technology,Bachelor,m,other,34,Good,No
Operations,Bachelor,f,other,23,Good,No
HR,Bachelor,m,sourcing,59,Good,No
Sales & Marketing,PHD,m,other,24,Good,No
Analytics,Bachelor,m,other,44,Good,No
Procurement,Bachelor,f,sourcing,50,Good,No
Procurement,Master,f,other,37,Good,No
Technology,Bachelor,m,sourcing,40,Good,No
Sales & Marketing,Bachelor,m,sourcing,30,Good,No
Procurement,Master,f,sourcing,56,Good,No
Finance,Bachelor,m,sourcing,20,Good,No
Sales & Marketing,Bachelor,f,sourcing,31,Good,No
Procurement,Bachelor,m,sourcing,40,Good,No
HR,Bachelor,m,other,30,Good,No
Operations,Bachelor,m,other,39,Good,No
Analytics,Bachelor,m,other,26,Good,No
Sales & Marketing,Bachelor,f,other,29,Good,No
R&D,Master,m,sourcing,40,Good,No
Sales & Marketing,Bachelor,m,other,27,Good,No
Sales & Marketing,Bachelor,m,other,40,Good,No
Sales & Marketing,Master,m,other,50,Good,Yes
Sales & Marketing,Bachelor,m,sourcing,25,Good,No
Analytics,Bachelor,f,other,28,Good,No
Sales & Marketing,Master,m,sourcing,35,Good,No
R&D,Bachelor,m,other,34,Good,No
Operations,Master,f,sourcing,31,Good,No
Finance,Bachelor,m,other,27,Outstanding,Yes
Sales & Marketing,Bachelor,m,sourcing,27,Good,Yes
Procurement,Bachelor,m,other,30,Good,No
Analytics,Bachelor,m,other,30,Good,Yes
Operations,Bachelor,f,other,50,Good,No
Technology,Master,m,other,34,Good,Yes
Sales & Marketing,Master,f,sourcing,41,Good,No
Sales & Marketing,Bachelor,m,sourcing,32,Good,No
Sales & Marketing,Bachelor,m,other,50,Good,No
Sales & Marketing,Master,m,sourcing,38,Good,Yes
Sales & Marketing,Bachelor,m,sourcing,29,Good,No
Sales & Marketing,Bachelor,m,sourcing,35,Good,No
Analytics,Bachelor,m,other,25,Good,No
Sales & Marketing,Bachelor,m,sourcing,30,Average,Yes
Technology,Bachelor,m,referred,47,Average,No
Operations,Master,m,sourcing,35,Average,No
Sales & Marketing,PHD,m,sourcing,25,Average,No
R&D,Bachelor,m,other,36,Average,No
Legal,Bachelor,m,other,29,Average,Yes
Operations,Master,f,sourcing,42,Average,Yes
HR,Bachelor,f,sourcing,28,Average,No
Sales & Marketing,PHD,m,sourcing,39,Average,No
Procurement,Master,m,sourcing,32,Average,Yes
Sales & Marketing,Bachelor,f,other,31,Average,No
